strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	submitting_lab	author	originating_lab	mlr_lineage_fitness	ace2_binding	immune_escape
USA/NMDOH-2025034099/2025	2025-11-20	XFV.4	62.00	25C (XFG)	USA	New Mexico	24A	202547	PZ038871	Homo sapiens		3-7 days ago	North America	New Mexico Department of Health Scientific Laboratory, Molecular Biology	Benoit et al	New Mexico Department of Health Scientific Laboratory		-2.65	1.88
BRA/ITpS_p5A_001Fq_001/2025	2025-11-26	XFV	61.00	25C (XFG)	Brazil	São Paulo	24A	202548	PX929649	Homo sapiens	XFV	Older	South America	Instituto Todos pela Saude, NA	Silva et al			-3.38	1.77
USA/MI-MDHHS-SC45913/2025	2025-11-19	XFV	62.00	25C (XFG)	USA	Michigan	24A	202547	PX698913	Homo sapiens	XFV	Older	North America	Michigan Department of Health and Human Services Genomics Section, Genomics	Blankenship et al	Michigan Department of Health and Human Services		-2.65	1.88
Denmark/DCGC-693333/2025	2025-11-03	XFV	62.00	25C (XFG)	Denmark	Denmark	24A	202545	OZ372679	Homo sapiens	XFV	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
USA/MI-MDHHS-SC45961/2026	2026-02-01	XFV	62.00	25C (XFG)	USA	Michigan	24A	202605	PZ025874	Homo sapiens		One week ago	North America	Michigan Department of Health and Human Services Genomics Section, Genomics	Blankenship et al			-2.65	1.88
USA/MI-MDHHS-SC45969/2026	2026-02-03	XFV	62.00	25C (XFG)	USA	Michigan	24A	202605	PZ025882	Homo sapiens		One week ago	North America	Michigan Department of Health and Human Services Genomics Section, Genomics	Blankenship et al			-2.65	1.88
USA/CO-CDPHE-45626099/2025	2025-11-30	XFV	62.00	25C (XFG)	USA	Colorado	24A	202549	PX831937	Homo sapiens	XFV	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al			-2.65	1.88
USA/MN-MDH-48724/2025	2025-12-03	XFV	62.00	25C (XFG)	USA	Minnesota	24A	202549	PX741311	Homo sapiens	XFV	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	MAYO CLINIC HEALTH SYSTEM - ALBERT LEA		-2.65	1.88
USA/MN-MDH-48872/2025	2025-12-18	XFV	63.00	25C (XFG)	USA	Minnesota	24A	202551	PX804102	Homo sapiens	XFV	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al			-2.65	1.88
USA/MN-MDH-49684/2026	2026-02-02	XFV	62.00	25C (XFG)	USA	Minnesota	24A	202605	PZ014105	Homo sapiens		One week ago	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	HEALTHPARTNERS CENTRAL LAB		-2.65	1.88
USA/MN-MDH-49416/2026	2026-01-08	XFV	62.00	25C (XFG)	USA	Minnesota	24A	202601	PX955428	Homo sapiens	XFV	One month ago	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	MAYO CLINIC HEALTH SYSTEM - ALBERT LEA		-2.65	1.88
USA/MN-MDH-49575/2026	2026-01-21	XFV	63.00	25C (XFG)	USA	Minnesota	24A	202603	PZ014007	Homo sapiens		One week ago	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	MAYO CLINIC - VIROLOGY		-2.88	1.90
BRA/AL-LACENAL-270312707/2025	2025-09-09	XFV	62.00	25C (XFG)	Brazil	Alagoas	24A	202537	PX471306	Homo sapiens	XFV	Older	South America	Laboratorio Central de Saude Publica de Alagoas, Genomic Surveillance	do Nascimento et al			-2.65	1.88
USA/CO-CDPHE-45169766/2025	2025-10-17	XFV	62.00	25C (XFG)	USA	Colorado	24A	202542	PX532366	Homo sapiens	XFV	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	Colorado Department of Public Health and Environment		-2.65	1.88
IGS-10285-CVDP-2E2923B2-C72C-4207-B8B5-969DF18304C0	2025-09-04	XFV	62.00	25C (XFG)	Germany		24A	202536			XFV	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-AF333FE1-7B92-4A5E-B23E-2C90DE4F1821	2025-11-03	XFV.5	62.00	25C (XFG)	Germany		24A	202545			XFV.5	Older	Europe		?			-2.65	1.88
Denmark/DCGC-693293/2025	2025-10-20	XFV.5	62.00	25C (XFG)	Denmark	Denmark	24A	202543	OZ368746	Homo sapiens	XFV.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-3.38	1.77
OZ409010	2026-01-19	XFV.5	62.00	25C (XFG)	United Kingdom	Scotland	24A	202603	OZ409010	Homo sapiens	XFV.5	One month ago	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian		-2.65	1.88
BRA/ITpS_RVQ_001Hd_001/2026	2026-01-09	XFV	61.00	25C (XFG)	Brazil	São Paulo	24A	202601	PZ044441	Homo sapiens		3-7 days ago	South America	Instituto Todos pela Saude, ITpS	Silva et al			-3.38	1.51
BRA/ITpS_0Z8_001HZ_001/2026	2026-01-29	XFV	60.00	25C (XFG)	Brazil	São Paulo	24A	202604	PZ044437	Homo sapiens		3-7 days ago	South America	Instituto Todos pela Saude, ITpS	Silva et al			-3.38	1.51
BRA/ITpS_tZ5_001G5_001/2025	2025-11-26	XFV	62.00	25C (XFG)	Brazil	São Paulo	24A	202548	PX929664	Homo sapiens	XFV	Older	South America	Instituto Todos pela Saude, NA	Silva et al			-3.38	1.77
BRA/ITpS_4tw_001He_001/2026	2026-01-14	XFV	62.00	25C (XFG)	Brazil	São Paulo	24A	202602	PZ044442	Homo sapiens		3-7 days ago	South America	Instituto Todos pela Saude, ITpS	Silva et al			-2.65	1.88
BRA/ITpS_bWa_001G4_001/2025	2025-11-26	XFV	61.00	25C (XFG)	Brazil	São Paulo	24A	202548	PX929663	Homo sapiens	XFV	Older	South America	Instituto Todos pela Saude, NA	Silva et al			-2.65	1.88
BRA/ITpS_caW_001GM_001/2026	2026-01-17	XFV	62.00	25C (XFG)	Brazil	Paraná	24A	202602	PZ044362	Homo sapiens		3-7 days ago	South America	Instituto Todos pela Saude, ITpS	Silva et al			-2.65	1.88
OZ375232	2025-10-16	XFV	64.00	25C (XFG)	Slovakia	Slovakia	24A	202542	OZ375232	Homo sapiens	XFV	Older	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al	Public Health Authority of the Slovak Republic		-2.65	1.88
IGS-10285-CVDP-4C08A9A5-68E2-4B43-8FCA-DD033C9AB255	2025-10-06	XFV	62.00	25C (XFG)	Germany		24A	202541			XFV	Older	Europe		?			-2.65	1.88
IGS-10285-CVDP-A36282FB-FCD6-4414-975B-18E6F8B50272	2025-11-26	XFV	62.00	25C (XFG)	Germany		24A	202548			XFV	Older	Europe		?			-2.65	1.88
Denmark/DCGC-693088/2025	2025-10-06	XFV.6	62.00	25C (XFG)	Denmark	Denmark	24A	202541	OZ352354	Homo sapiens	XFV.6	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
OZ392098	2025-12-15	XFV.6	62.00	25C (XFG)	Denmark	Denmark	24A	202551	OZ392098	Homo sapiens	XFV.6	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al			-2.44	1.77
BRA/AL-270314766/2025	2025-10-06	XFV	62.00	25C (XFG)	Brazil	Alagoas	24A	202541	PX470905	Homo sapiens	XFV	Older	South America	Laboratorio Central de Saude Publica de Alagoas, Genomic Surveillance	do Nascimento et al			-2.73	1.39
Denmark/DCGC-693338/2025	2025-11-10	XFV	63.00	25C (XFG)	Denmark	Denmark	24A	202546	OZ372635	Homo sapiens	XFV	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.65	1.88
BRA/ITpS_iPF_001FV_001/2025	2025-11-25	XFV	63.00	25C (XFG)	Brazil	São Paulo	24A	202548	PX929628	Homo sapiens	XFV	Older	South America	Instituto Todos pela Saude, NA	Silva et al			-2.65	1.88
BRA/ITpS_wBK_001F5_001/2025	2025-11-17	XFV	62.00	25C (XFG)	Brazil	São Paulo	24A	202547	PX929602	Homo sapiens	XFV	Older	South America	Instituto Todos pela Saude, NA	Silva et al			-2.65	1.88
USA/MN-MDH-49090/2026	2026-01-05	XFV	62.00	25C (XFG)	USA	Minnesota	24A	202601	PX880552	Homo sapiens	XFV	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al			-2.65	1.88
USA/CT-DPH-1329358001/2025	2025-10-20	XFG.23	61.00	25C (XFG)	USA	Connecticut	24A	202543	PX497586	Homo sapiens	XFG.23	Older	North America	CT State Public Health Laboratory Submission Group, Katherine A. Kelley State Public Health Laboratory	Incekara et al	Connecticut State Public Health Laboratory		-2.65	1.88
IGS-10285-CVDP-EF3F9637-FEB5-4637-A11C-3E6B94958BE8	2025-11-07	XFG.23	61.00	25C (XFG)	Germany		24A	202545			XFG.23	Older	Europe		?			-2.65	1.88
Denmark/DCGC-692896/2025	2025-09-08	RB.1	63.00	25C (XFG)	Denmark	Denmark	24A	202537	OZ345975	Homo sapiens	RB.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.79	1.89
Switzerland/UN-SNRCI-HUG_49134715/2025	2025-09-04	RB.1	63.00	25C (XFG)	Switzerland	Switzerland	24A	202536	OZ337332	Homo sapiens	RB.1	Older	Europe	SIB, Ch. des Mines 9	?			-1.03	1.36
IGS-10285-CVDP-9CAD0AB6-42CB-4623-98E5-57B9458EA96E	2025-09-15	XFG.23.1.1	62.00	25C (XFG)	Germany		24A	202538			XFG.23.1.1	Older	Europe		?			-2.79	1.89
USA/MD-MDH-12648/2026	2026-01-10	XFG.23.1.1	63.00	25C (XFG)	USA	Maryland	24A	202601	PX945488	Homo sapiens	XFG.23.1.1	One month ago	North America	Maryland Department of Health, DVI	Stegman et al			-2.81	0.56
USA/IL-RIPHL_124751_G/2026	2026-02-11	XFG.23.1.1	63.00	25C (XFG)	USA	Illinois	24A	202606	PZ052402	Homo sapiens		3-7 days ago	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al			-2.79	1.89
USA/CO-CDPHE-45455833/2025	2025-11-08	RB.2	62.00	25C (XFG)	USA	Colorado	24A	202545	PX697884	Homo sapiens	RB.2	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	Colorado Department of Public Health and Environment		-2.79	1.89
USA/CA-CDC-9625745-001/2025	2025-11-09	RB.2	62.00	25C (XFG)	USA	California	24A	202546	PX979681	Homo sapiens	RB.2	One month ago	North America	Centers for Disease Control and Prevention, Coronaviruses and Other Respiratory Viruses Division	Kelleher et al	CDPH, Viral and Rickettsial Disease Laboratory		-2.79	1.89
USA/IL-RIPHL_15911_G/2025	2025-12-15	RB.2	62.00	25C (XFG)	USA	Illinois	24A	202551	PX854637	Homo sapiens	RB.2	Older	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al			-3.52	1.78
USA/MD-MDH-12834/2026	2026-02-09	XFG.23.1	62.00	25C (XFG)	USA	Maryland	24A	202606	PZ048788	Homo sapiens		3-7 days ago	North America	Maryland Department of Health, DVI	Stegman et al			-0.65	0.97
USA/MD-MDH-12825/2026	2026-02-10	XFG.23.1	62.00	25C (XFG)	USA	Maryland	24A	202606	PZ048790	Homo sapiens		3-7 days ago	North America	Maryland Department of Health, DVI	Stegman et al			-0.53	0.95
USA/CO-CDPHE-44731276/2025	2025-09-14	XFG.23.1.3	62.00	25C (XFG)	USA	Colorado	24A	202538	PX446747	Homo sapiens	XFG.23.1.3	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	Colorado Department of Public Health and Environment		-2.79	1.89
USA/MA-MASPHL-15126/2026	2026-01-21	XFG.23.1.3	62.00	25C (XFG)	USA	Massachusetts	24A	202603	PX993560	Homo sapiens	XFG.23.1.3	One month ago	North America	Massachusetts State Public Health Lab, DPH	Gagne et al			-2.79	1.89
IGS-10285-CVDP-FBED82FC-7C05-4290-B057-B03F256A6A61	2026-01-19	XFG.23.1.3	62.00	25C (XFG)	Germany		24A	202603			XFG.23.1.3	One month ago	Europe		?			-2.79	1.89
IRL/GIRL00091992/2025	2025-12-10	XFG.23.1.3	62.00	25C (XFG)	Ireland	Meath	24A	202550	PX971378	Homo sapiens	XFG.23.1.3	One month ago	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al			-2.88	1.89
USA/MD-MDH-12839/2026	2026-02-11	XFG.23.1.3	62.00	25C (XFG)	USA	Maryland	24A	202606	PZ048792	Homo sapiens		3-7 days ago	North America	Maryland Department of Health, DVI	Stegman et al			-2.41	1.34
USA/PHL2-M-B-H08-20260218/2026	2026-02-02	XFG.23.1.3	62.00	25C (XFG)	USA	Pennsylvania	24A	202605	PZ056993	Homo sapiens		3-7 days ago	North America	Philadelphia Department of Public Health, Public Health Laboratory	Tu et al			-2.88	1.89
OZ405963	2026-01-08	XFG.23.1.3	62.00	25C (XFG)	United Kingdom	England	24A	202601	OZ405963	Homo sapiens	XFG.23.1.3	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England		-2.67	1.74
IGS-10285-CVDP-A30D5987-ED88-42AB-A431-F2565EC3A5D4	2026-01-14	XFG.23.1.3	62.00	25C (XFG)	Germany		24A	202602			XFG.23.1.3	One month ago	Europe		?			-2.88	1.89
USA/MN-MDH-49814/2026	2026-02-11	XFG.23.1.3	62.00	25C (XFG)	USA	Minnesota	24A	202606	PZ036356	Homo sapiens		3-7 days ago	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al			-2.88	1.89
OZ404817	2026-01-11	XFG.23.1.3	62.00	25C (XFG)	United Kingdom	England	24A	202602	OZ404817	Homo sapiens	XFG.23.1.3	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?			-3.61	1.78
OZ409648	2026-01-26	XFG.23.1.3	62.00	25C (XFG)	United Kingdom	England	24A	202604	OZ409648	Homo sapiens	XFG.23.1.3	One month ago	Europe	61 Colindale Avenue, London, NW9 5EQ	?	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England		-3.61	1.78
USA/IL-RIPHL_124595_G/2026	2026-01-07	XFG.23.1.3	63.00	25C (XFG)	USA	Illinois	24A	202601	PX927218	Homo sapiens	XFG.23.1.3	Older	North America	Regional Innovative Public Health Laboratory, Regional Innovative Public Health Laboratory	Green et al			-2.89	1.91
Denmark/DCGC-692703/2025	2025-09-01	XFG.23.1.5	62.00	25C (XFG)	Denmark	Denmark	24A	202536	OZ331415	Homo sapiens	XFG.23.1.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.79	1.89
Denmark/DCGC-692936/2025	2025-09-29	XFG.23.1.5	62.00	25C (XFG)	Denmark	Denmark	24A	202540	OZ352371	Homo sapiens	XFG.23.1.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.79	1.89
Denmark/DCGC-693180/2025	2025-10-13	XFG.23.1.5	62.00	25C (XFG)	Denmark	Denmark	24A	202542	OZ368672	Homo sapiens	XFG.23.1.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-3.52	1.78
OZ371085	2025-09-23	XFG.23.1.4	64.00	25C (XFG)	Slovakia	Slovakia	24A	202539	OZ371085	Homo sapiens	XFG.23.1.4	Older	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al	Public Health Authority of the Slovak Republic		-2.79	1.89
OZ378155	2025-11-24	XFG.23.1.4	63.00	25C (XFG)	United Kingdom	Wales	24A	202548	OZ378155	Homo sapiens	XFG.23.1.4	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-2.79	1.89
OZ368602	2025-10-29	XFG.23.1.4	63.00	25C (XFG)	United Kingdom	Wales	24A	202544	OZ368602	Homo sapiens	XFG.23.1.4	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-2.79	1.89
OZ367745	2025-10-27	XFG.23.1.4	63.00	25C (XFG)	United Kingdom	Wales	24A	202544	OZ367745	Homo sapiens	XFG.23.1.4	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-2.79	1.89
USA/CA-CDPH-6000023744/2025	2025-11-01	XFG.23.1.4	63.00	25C (XFG)	USA	California	24A	202544	PX991918	Homo sapiens	XFG.23.1.4	One month ago	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Young et al	Kaiser Regional-39 SanRafael H		-2.79	1.89
USA/CO-CDPHE-45626382/2025	2025-12-10	XFG.23.1.4	63.00	25C (XFG)	USA	Colorado	24A	202550	PX831953	Homo sapiens	XFG.23.1.4	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	Colorado Department of Public Health and Environment		-2.79	1.89
USA/MD-MDH-12837/2026	2026-02-09	XFG.23.1.4	63.00	25C (XFG)	USA	Maryland	24A	202606	PZ048780	Homo sapiens		3-7 days ago	North America	Maryland Department of Health, DVI	Stegman et al			-2.86	1.04
OZ367416	2025-10-24	XFG.23.1.2	62.00	25C (XFG)	United Kingdom	Wales	24A	202543	OZ367416	Homo sapiens	XFG.23.1.2	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit		-2.79	1.89
Denmark/DCGC-692901/2025	2025-10-06	XFG.23.1.2	62.00	25C (XFG)	Denmark	Denmark	24A	202541	OZ352255	Homo sapiens	XFG.23.1.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.79	1.89
IGS-10285-CVDP-1FBAD8A8-8D42-48B7-9D8F-66970865E2CC	2025-12-12	XFG.23.1.2	63.00	25C (XFG)	Germany		24A	202550			XFG.23.1.2	Older	Europe		?			-2.79	1.89
OZ370833	2025-11-04	XFG.23.1.2	61.00	25C (XFG)	United Kingdom	Scotland	24A	202545	OZ370833	Homo sapiens	XFG.23.1.2	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian		-3.45	1.73
OZ375342	2025-11-18	XFG.23.1.2	62.00	25C (XFG)	United Kingdom	Scotland	24A	202547	OZ375342	Homo sapiens	XFG.23.1.2	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian		-2.79	1.89
Switzerland/VD-CHUV-GEN23387/2025	2025-09-06	XFG.23.1.2	61.00	25C (XFG)	Switzerland	Not Provided	24A	202536	OZ344861	Homo sapiens	XFG.23.1.2	Older	Europe	SIB, Ch. des Mines 9	?			-1.03	1.36
IGS-10285-CVDP-7B9633F4-B071-48CE-BFA2-BB70E68BFFA5	2025-10-24	XFG.23.1.2	61.00	25C (XFG)	Germany		24A	202543			XFG.23.1.2	Older	Europe		?			0.00	0.00
IGS-10285-CVDP-C05270F3-BC8C-462D-9B72-685C39944436	2025-11-03	XFG.23.1.2	62.00	25C (XFG)	Germany		24A	202545			XFG.23.1.2	Older	Europe		?			-2.79	1.89
OZ405644	2026-01-02	XFG.23.1.2	62.00	25C (XFG)	United Kingdom	Northern Ireland	24A	202553	OZ405644	Homo sapiens	XFG.23.1.2	Older	Europe	Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl	?			-2.79	1.89
Denmark/DCGC-693278/2025	2025-10-13	XFG.23.1.2	62.00	25C (XFG)	Denmark	Denmark	24A	202542	OZ368722	Homo sapiens	XFG.23.1.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-3.52	1.78
USA/UT-UPHL-251031776127/2025	2025-10-24	XFG.23.1.2	62.00	25C (XFG)	USA	Utah	24A	202543	PX931140	Homo sapiens	XFG.23.1.2	Older	North America	Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory	Gupta et al	Utah Public Health Laboratory		-3.46	1.31
Denmark/DCGC-693415/2025	2025-11-10	XFG.23.1.2	63.00	25C (XFG)	Denmark	Denmark	24A	202546	OZ376981	Homo sapiens	XFG.23.1.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark		-2.79	1.89
IGS-10285-CVDP-D9D0D4AE-3030-4754-B439-D08CC525DC67	2025-10-24	XFG.23.1.2	62.00	25C (XFG)	Germany		24A	202543			XFG.23.1.2	Older	Europe		?			-2.79	1.89
IGS-10285-CVDP-C04B4E5F-7447-4A4F-A63D-EFCA810F342F	2025-09-19	XFG.19	62.00	25C (XFG)	Germany		24A	202538			XFG.19	Older	Europe		?			-2.65	1.88
Switzerland/ZH-UZH-IMV-49c32d07/2025	2025-09-10	XFG.19	62.00	25C (XFG)	Switzerland	Not Provided	24A	202537	OZ337203	Homo sapiens	XFG.19	Older	Europe	SIB, Ch. des Mines 9	?			-0.89	1.35
USA/CA-CDPH-6000023590/2025	2025-11-02	XFG.19	62.00	25C (XFG)	USA	California	24A	202545	PX887380	Homo sapiens	XFG.19	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al			-2.65	1.88
IGS-10285-CVDP-228A133B-E647-42E1-806E-66DB47253E6A	2025-09-04	XFG.3.1	62.00	25C (XFG)	Germany		24A	202536			XFG.3.1	Older	Europe		?		1.00	-2.75	1.89
IGS-10285-CVDP-9162D42B-E669-4170-95AA-39AF3DB115FC	2025-09-02	XFG.14.2	63.00	25C (XFG)	Germany		24A	202536			XFG.14.2	Older	Europe		?			-2.75	1.89
USA/MN-MDH-48466/2025	2025-10-13	XFG.14.2	63.00	25C (XFG)	USA	Minnesota	24A	202542	PX525655	Homo sapiens	XFG.14.2	Older	North America	Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab	Garfin et al	UNIVERSITY OF MINNESOTA - INFECTIOUS DISEASE DIAGNOSTIC LABO		-2.75	1.89
